"Source Type","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"Tier 1","5,959","467 (7.84%)","22.91%","107","11","81","14","6","2","13.084%","5.607%","1.869%","$74.67","$174.23","$522.70","$1,045.39","$9.77","$9.77","3.35","1.79%","$0.00","$0.00","$0.00"
"Tier 3","1,226","346 (28.22%)","19.36%","67","6","44","2","0","0","2.985%","0%","0%","$218.09","$0.00","$0.00","$436.17","$6.51","$6.51","5.65","5.46%","$0.00","$0.00","$0.00"
"Tier 2","715","79 (11.05%)","41.77%","33","3","26","2","1","0","6.061%","3.03%","0%","$123.59","$247.17","$0.00","$247.17","$7.49","$7.49","5.82","4.61%","$0.00","$0.00","$0.00"
"Home SearchB","276","31 (11.23%)","45.16%","14","0","11","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$113.96","$8.14","$8.14","5.23","5.07%","$0.00","$0.00","$0.00"
"Home Search","103","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$6.51","9.16","0%","$0.00","$0.00","$0.00"
"Native/Display/Social 2","10","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$6.51","6.40","0%","$0.00","$0.00","$0.00"
"Premium Referral","1","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$6.51","7.00","0%","$0.00","$0.00","$0.00"
"Internal SEO","14","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$6.51","7.14","0%","$0.00","$0.00","$0.00"
"","8,304","923 (11.12%)","23.94%","221","20","162","18","7","2","8.145%","3.167%","0.905%","$102.37","$263.24","$921.35","$1,842.69","$8.33","$8.98","4.05","2.66%","$0.00","$0.00","$0.00"
