"Consumer Age","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"41","27","2 (7.41%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.10","4.88","0%","$0.00","$0.00","$0.00"
"42","37","2 (5.41%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.21","4.62","0%","$0.00","$0.00","$0.00"
"88","32","2 (6.25%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.92","3.87","0%","$0.00","$0.00","$0.00"
"40","44","2 (4.55%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.46","4.59","0%","$0.00","$0.00","$0.00"
"50","64","2 (3.13%)","50%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$8.14","$8.14","$9.13","4.51","1.56%","$0.00","$0.00","$0.00"
"49","57","2 (3.51%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.27","4.07","0%","$0.00","$0.00","$0.00"
"97","3","1 (33.33%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.68","1.66","0%","$0.00","$0.00","$0.00"
"95","6","1 (16.67%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.14","4.66","0%","$0.00","$0.00","$0.00"
"92","8","1 (12.50%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.07","2.62","0%","$0.00","$0.00","$0.00"
"45","45","1 (2.22%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.06","4.08","0%","$0.00","$0.00","$0.00"
"51","74","1 (1.35%)","100%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$9.22","4.72","1.35%","$0.00","$0.00","$0.00"
"32","12","1 (8.33%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.22","3.25","0%","$0.00","$0.00","$0.00"
"28","7","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.44","7.00","0%","$0.00","$0.00","$0.00"
"34","18","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.33","5.33","0%","$0.00","$0.00","$0.00"
"23","4","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.95","4.00","0%","$0.00","$0.00","$0.00"
"46","53","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.25","4.60","0%","$0.00","$0.00","$0.00"
"27","8","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.95","5.87","0%","$0.00","$0.00","$0.00"
"44","62","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.12","5.83","0%","$0.00","$0.00","$0.00"
"22","9","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.51","3.44","0%","$0.00","$0.00","$0.00"
"39","33","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.30","5.15","0%","$0.00","$0.00","$0.00"
