"Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"8,289","916 (11.05%)","23.9%","219","20","161","18","7","2","8.219%","3.196%","0.913%","$101.41","$260.78","$912.72","$1,825.43","$8.33","$8.98","4.05","2.64%","$0.00","$0.00","$0.00"
"8,289","916 (11.05%)","23.9%","219","20","161","18","7","2","8.219%","3.196%","0.913%","$101.41","$260.78","$912.72","$1,825.43","$8.33","$8.98","4.05","2.64%","$0.00","$0.00","$0.00"
