"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"MERIWETHER","13","1 (7.69%)","0","0","0","0%","$0.00","$0.00","$9.41","4.15","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HANCOCK","2","1 (50.00%)","1","1","0","100%","$9.77","$9.77","$9.77","1.50","50%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LAMAR","8","1 (12.50%)","0","0","0","0%","$0.00","$0.00","$9.07","3.37","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CLINCH","9","1 (11.11%)","0","0","0","0%","$0.00","$0.00","$9.04","4.22","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DADE","10","1 (10.00%)","0","0","0","0%","$0.00","$0.00","$8.49","4.40","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"SCREVEN","8","1 (12.50%)","1","1","0","100%","$9.77","$9.77","$8.99","3.12","12.5%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"JEFFERSON","12","1 (8.33%)","0","0","0","0%","$0.00","$0.00","$9.22","3.50","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BARROW","28","1 (3.57%)","0","0","0","0%","$0.00","$0.00","$8.86","5.03","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"COOK","10","1 (10.00%)","1","1","0","100%","$6.51","$6.51","$8.56","4.00","10%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"IRWIN","8","1 (12.50%)","0","0","0","0%","$0.00","$0.00","$9.48","3.75","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CHARLTON","7","1 (14.29%)","0","0","0","0%","$0.00","$0.00","$8.51","4.14","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WILCOX","6","1 (16.67%)","0","0","0","0%","$0.00","$0.00","$8.46","4.33","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BLECKLEY","7","1 (14.29%)","0","0","0","0%","$0.00","$0.00","$9.30","2.71","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LINCOLN","5","1 (20.00%)","0","0","0","0%","$0.00","$0.00","$9.11","2.60","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TALIAFERRO","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","2.40","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BEN HILL","18","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.61","4.11","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CANDLER","13","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.09","3.23","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LONG","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.11","6.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"PULASKI","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.11","4.20","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TOOMBS","15","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.40","3.93","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TALBOT","10","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.46","4.50","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"EMANUEL","9","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.26","3.77","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BROOKS","18","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.84","4.05","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"JASPER","4","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.63","2.75","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"RANDOLPH","6","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.39","3.83","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"EARLY","6","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.22","4.50","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HEARD","4","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.14","4.75","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HABERSHAM","21","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.87","5.23","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BACON","6","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","2.66","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CHATTAHOOCHEE","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.68","6.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CALHOUN","2","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","5.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"JONES","6","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.46","5.16","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TURNER","7","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.60","2.42","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MONROE","9","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.40","3.88","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
