"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"BALDWIN","14","3 (21.43%)","0","0","0","0%","$0.00","$0.00","$8.51","3.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"COFFEE","28","3 (10.71%)","1","0","1","33.33%","$6.51","$6.51","$9.08","3.96","3.57%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DOUGHERTY","62","3 (4.84%)","0","0","0","0%","$0.00","$0.00","$8.81","4.62","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TATTNALL","10","3 (30.00%)","1","1","1","33.33%","$9.77","$9.77","$8.79","2.30","10%","0","0%","$0.00","$0.00","1","100%","$9.77","$0.00","1","100%","$9.77","$0.00"
"HART","19","3 (15.79%)","0","0","0","0%","$0.00","$0.00","$8.26","4.84","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BUTTS","15","3 (20.00%)","1","0","0","33.33%","$8.14","$8.14","$9.11","3.13","6.66%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"FANNIN","35","3 (8.57%)","0","0","0","0%","$0.00","$0.00","$8.81","3.85","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LEE","18","3 (16.67%)","1","1","0","33.33%","$8.14","$8.14","$8.84","3.94","5.55%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"UNION","14","3 (21.43%)","0","0","0","0%","$0.00","$0.00","$8.65","4.35","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"SUMTER","20","3 (15.00%)","0","0","0","0%","$0.00","$0.00","$8.51","4.15","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BERRIEN","16","3 (18.75%)","0","0","0","0%","$0.00","$0.00","$8.67","4.06","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"PUTNAM","6","3 (50.00%)","0","0","0","0%","$0.00","$0.00","$8.14","3.16","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"PIERCE","25","3 (12.00%)","1","1","0","33.33%","$6.51","$6.51","$8.98","3.44","4%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BARTOW","26","3 (11.54%)","0","0","0","0%","$0.00","$0.00","$8.62","4.50","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"GLYNN","47","3 (6.38%)","1","1","0","33.33%","$9.77","$9.77","$9.06","4.00","2.12%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MITCHELL","13","3 (23.08%)","0","0","0","0%","$0.00","$0.00","$8.84","3.69","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WILKINSON","14","3 (21.43%)","2","2","0","66.66%","$14.65","$7.32","$8.28","3.42","14.28%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"APPLING","6","2 (33.33%)","0","0","0","0%","$0.00","$0.00","$9.22","1.33","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BRANTLEY","12","2 (16.67%)","0","0","0","0%","$0.00","$0.00","$8.65","3.16","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HARALSON","18","2 (11.11%)","1","1","0","50%","$9.77","$9.77","$8.91","4.16","5.55%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
