"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"LANIER","9","2 (22.22%)","50%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.51","$6.51","$8.68","2.88","11.11%","$0.00","$0.00","$0.00"
"MORGAN","19","2 (10.53%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.79","3.73","0%","$0.00","$0.00","$0.00"
"MONROE","21","2 (9.52%)","50%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$9.22","3.04","4.76%","$0.00","$0.00","$0.00"
"ELBERT","22","2 (9.09%)","50%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.49","$7.49","$9.26","3.45","4.54%","$0.00","$0.00","$0.00"
"EMANUEL","19","2 (10.53%)","50%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.49","$7.49","$8.99","4.15","5.26%","$0.00","$0.00","$0.00"
"WARE","34","2 (5.88%)","100%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$19.54","$9.77","$9.11","4.14","5.88%","$0.00","$0.00","$0.00"
"CRISP","25","2 (8.00%)","50%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.51","$6.51","$9.10","3.48","4%","$0.00","$0.00","$0.00"
"TWIGGS","13","1 (7.69%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.09","4.07","0%","$0.00","$0.00","$0.00"
"WILCOX","6","1 (16.67%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.46","4.33","0%","$0.00","$0.00","$0.00"
"JENKINS","6","1 (16.67%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.49","$7.49","$9.39","4.16","16.66%","$0.00","$0.00","$0.00"
"BROOKS","22","1 (4.55%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.71","3.90","0%","$0.00","$0.00","$0.00"
"GREENE","14","1 (7.14%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.25","4.57","0%","$0.00","$0.00","$0.00"
"SCHLEY","2","1 (50.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","1.50","0%","$0.00","$0.00","$0.00"
"RANDOLPH","10","1 (10.00%)","100%","1","0","1","1","1","1","100%","100%","100%","$9.77","$9.77","$9.77","$9.77","$9.77","$9.31","2.90","10%","$0.00","$0.00","$0.00"
