"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"UNION","25","5 (20.00%)","20%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$8.83","3.88","4%","$0.00","$0.00","$0.00"
"DAWSON","17","5 (29.41%)","40%","2","1","1","1","0","0","50%","0%","0%","$19.54","$0.00","$0.00","$19.54","$9.77","$9.04","3.23","11.76%","$0.00","$0.00","$0.00"
"GRADY","25","5 (20.00%)","40%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.28","$8.14","$8.93","2.52","8%","$0.00","$0.00","$0.00"
"WASHINGTON","25","5 (20.00%)","40%","2","0","2","1","1","0","50%","50%","0%","$17.91","$17.91","$0.00","$17.91","$8.95","$9.17","3.04","8%","$0.00","$0.00","$0.00"
"TATTNALL","20","5 (25.00%)","40%","2","1","2","1","1","0","50%","50%","0%","$16.28","$16.28","$0.00","$16.28","$8.14","$8.67","3.15","10%","$0.00","$0.00","$0.00"
"SCREVEN","17","5 (29.41%)","40%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$19.54","$9.77","$9.02","3.00","11.76%","$0.00","$0.00","$0.00"
"MCINTOSH","22","4 (18.18%)","50%","2","1","2","1","0","0","50%","0%","0%","$19.54","$0.00","$0.00","$19.54","$9.77","$9.11","2.50","9.09%","$0.00","$0.00","$0.00"
"POLK","36","4 (11.11%)","50%","2","1","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.28","$8.14","$8.66","4.00","5.55%","$0.00","$0.00","$0.00"
"LAMAR","17","4 (23.53%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.11","3.29","0%","$0.00","$0.00","$0.00"
"PUTNAM","16","4 (25.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.67","3.87","0%","$0.00","$0.00","$0.00"
"PEACH","47","4 (8.51%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$8.79","3.97","2.12%","$0.00","$0.00","$0.00"
"BURKE","24","4 (16.67%)","75%","3","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$24.42","$8.14","$8.62","4.20","12.5%","$0.00","$0.00","$0.00"
"COLQUITT","34","4 (11.76%)","50%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$14.98","$7.49","$8.85","4.58","5.88%","$0.00","$0.00","$0.00"
"BLECKLEY","20","4 (20.00%)","25%","1","0","1","1","0","0","100%","0%","0%","$9.77","$0.00","$0.00","$9.77","$9.77","$8.64","3.10","5%","$0.00","$0.00","$0.00"
"HART","26","4 (15.38%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.31","4.34","0%","$0.00","$0.00","$0.00"
"SUMTER","33","4 (12.12%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.77","3.69","0%","$0.00","$0.00","$0.00"
"EFFINGHAM","55","4 (7.27%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.91","3.47","0%","$0.00","$0.00","$0.00"
"UPSON","27","4 (14.81%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.49","$7.49","$9.19","3.96","3.7%","$0.00","$0.00","$0.00"
"DOOLY","12","4 (33.33%)","50%","2","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.28","$8.14","$8.65","2.58","16.66%","$0.00","$0.00","$0.00"
"GILMER","25","4 (16.00%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$9.22","3.40","4%","$0.00","$0.00","$0.00"
"MACON","8","4 (50.00%)","25%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.49","$7.49","$8.26","2.00","12.5%","$0.00","$0.00","$0.00"
