name,state,lead_type_id,impressions,clicks,avg_rpc,first_rpc,f_clicks,second_rpc,s_clicks,third_rpc,t_clicks,four_plus_rpc,fplus_clicks
Tier 1,GA,2,2421,818,10.4697,10.8739,620,9.4943,115,8.4818,52,8.5959,31
Tier 3,GA,2,1273,493,8.7430,9.1738,406,6.6398,63,6.5305,18,5.7585,6
Tier 2,GA,2,659,330,8.8662,9.0323,293,7.3521,31,6.5750,5,4.2450,1
Home SearchB,GA,2,380,171,14.0083,14.8354,137,10.3954,30,7.8575,3,6.2300,1
Home Search,GA,2,218,83,60.4955,62.4789,77,30.0385,6,1.0000,0,1.0000,0
Internal SEO,GA,2,23,7,15.3912,15.4360,4,9.9833,2,9.5000,1,1.0000,0
Native/Display/Social 2,GA,2,22,4,9.3760,9.5760,4,1.0000,0,1.0000,0,1.0000,0
