"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"MURRAY","69","1 (1.45%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$11.74","5.18","0%","$0.00","$0.00","$0.00"
"GORDON","81","1 (1.23%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$10.99","4.56","0%","$0.00","$0.00","$0.00"
"LAMAR","19","1 (5.26%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.92","5.15","0%","$0.00","$0.00","$0.00"
"GILMER","40","1 (2.50%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$14.56","3.40","0%","$0.00","$0.00","$0.00"
"DOUGHERTY","132","1 (0.76%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$8.98","$8.98","$12.39","4.13","0.75%","$0.00","$0.00","$0.00"
"CATOOSA","71","1 (1.41%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$14.32","4.22","0%","$0.00","$0.00","$0.00"
"EFFINGHAM","61","1 (1.64%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$13.39","4.85","0%","$0.00","$0.00","$0.00"
"BUTTS","58","1 (1.72%)","100%","1","1","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$20.43","$20.43","$12.58","4.43","1.72%","$0.00","$0.00","$0.00"
"HART","47","1 (2.13%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$11.73","4.44","0%","$0.00","$0.00","$0.00"
"BRYAN","34","1 (2.94%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.56","4.58","0%","$0.00","$0.00","$0.00"
"LUMPKIN","45","1 (2.22%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$11.87","4.15","0%","$0.00","$0.00","$0.00"
"LEE","38","1 (2.63%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.36","4.47","0%","$0.00","$0.00","$0.00"
"BARTOW","128","1 (0.78%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.01","$9.01","$12.33","4.24","0.78%","$0.00","$0.00","$0.00"
"UPSON","45","1 (2.22%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.79","4.71","0%","$0.00","$0.00","$0.00"
"ELBERT","20","1 (5.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.27","3.85","0%","$0.00","$0.00","$0.00"
"HARALSON","16","1 (6.25%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$17.52","$17.52","$13.52","4.56","6.25%","$0.00","$0.00","$0.00"
"TIFT","56","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$10.31","5.07","0%","$0.00","$0.00","$0.00"
"MORGAN","23","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$13.65","5.04","0%","$0.00","$0.00","$0.00"
"JONES","27","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.25","4.03","0%","$0.00","$0.00","$0.00"
"GREENE","22","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$11.67","4.09","0%","$0.00","$0.00","$0.00"
"COFFEE","29","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$10.17","4.79","0%","$0.00","$0.00","$0.00"
"PIERCE","20","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.19","6.55","0%","$0.00","$0.00","$0.00"
"MONROE","24","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$12.50","6.79","0%","$0.00","$0.00","$0.00"
"POLK","88","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$10.16","4.52","0%","$0.00","$0.00","$0.00"
"OCONEE","6","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$15.47","4.00","0%","$0.00","$0.00","$0.00"
"--","13,151","444 (3.38%)","32.88%","146","16","112","17","5","0","11.644%","3.425%","0%","$103.08","$350.47","$0.00","$1,752.33","$12.00","$12.12","4.39","1.11%","$0.00","$0.00","$0.00"
