"Consumer Age","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"39","47","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$10.66","4.93","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"31","29","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.63","4.96","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"35","35","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$12.99","5.22","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"43","56","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$11.73","5.23","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"33","25","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$10.08","5.04","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"26","34","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$11.33","5.44","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"45","119","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$10.69","5.67","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"37","61","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.80","5.96","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"41","37","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$10.05","5.70","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"52","77","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$12.91","5.57","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"30","40","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$10.23","4.82","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"38","60","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$11.42","5.46","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"36","51","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$10.45","5.88","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"29","26","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.53","5.23","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"34","60","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.55","6.21","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"25","28","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.50","5.46","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"53","117","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$11.52","4.99","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"48","110","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$11.60","4.89","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"32","33","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$12.51","5.36","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"--","5,793","134 (2.31%)","54","44","8","40.29%","$640.96","$11.86","$11.89","4.55","0.93%","0","0%","$0.00","$0.00","9","16.667%","$71.22","$0.00","1","1.852%","$640.96","$0.00"
